NOM_ENT,2006
Aguascalientes,20.3
Baja California,25.5
Baja California Sur,28.2
Campeche,26.6
Chiapas,25.2
Chihuahua,25.3
Ciudad de México,26
Coahuila de Zaragoza,17.1
Colima,23
Durango,22.2
Guanajuato,25.4
Guerrero,25.8
Hidalgo,19.1
Jalisco,23.5
México,25.8
Michoacán de Ocampo,26.1
Morelos,21
Nayarit,23.7
Nuevo León,28.3
Oaxaca,18.7
Puebla,17.7
Querétaro,21.9
Quintana Roo,31.2
San Luis Potosí,19.7
Sinaloa,24.6
Sonora,27.4
Tabasco,28.8
Tamaulipas,32.1
Tlaxcala,21.6
Veracruz de Ignacio de la Llave,21.8
Yucatán,30.8
Zacatecas,19.4
